butterfly_id,species_name_trinomial,species_name_binomial,family,common_name_english,common_name_sinhalese,national_red_list_category_2012,status
b001,Graphium agamemnon menides,Graphium agamemnon,Papilionidae,Tailed Jay,Thudanga Pralapani,LC,Not endemic
b002,Graphium antiphates ceylonicus,Graphium antiphates,Papilionidae,Fivebar Swordtail,Pancha iri kaga-waligaya,EN,Not endemic
b003,Graphium doson doson,Graphium doson,Papilionidae,Common Jay,Pralapani,LC,Endemic subspecies
b004,Graphium nomius nomius,Graphium nomius,Papilionidae,Spot Swordtail,Thith Kaga-waligaya,VU,Not endemic
b005,Graphium sarpedon teredon,Graphium sarpedon,Papilionidae,Common Bluebottle,Neelabomi,LC,Endemic subspecies
b006,Pachliopta aristolochiae ceylonica,Pachliopta aristolochiae,Papilionidae,Common Rose,Sewwandiya,LC,Endemic subspecies
b007,Pachliopta hector,Pachliopta hector,Papilionidae,Crimson Rose,Arunu Sewwandiya,LC,Not endemic
b008,Pachliopta jophon,Pachliopta jophon,Papilionidae,Sri Lankan Rose,Sri Lanka rosa papiliya,EN,Endemic
b009,Papilio clytia lankeswara,Papilio clytia,Papilionidae,Mime,Rawana Papiliya,LC,Endemic subspecies
b010,Papilio crino,Papilio crino,Papilionidae,Banded Peacock,Mayurabada,VU,Not endemic
b011,Papilio demoleus demoleus,Papilio demoleus,Papilionidae,Lime Butterfly,Dehirisiya,LC,Not endemic
b012,Papilio helenus mooreanus,Papilio helenus,Papilionidae,Red Helen,Maha Kela Papiliya,VU,Endemic subspecies
b013,Papilio polymnestor parinda,Papilio polymnestor,Papilionidae,Blue Mormon,Neela Parindaya,LC,Endemic subspecies
b014,Papilio polytes romulus,Papilio polytes,Papilionidae,Common Mormon,Wesgaththi,LC,Not endemic
b015,Troides darsius,Troides darsius,Papilionidae,Sri Lankan Birdwing,Sri Lanka Maha Kurulu Piya Paliliya,LC,Endemic
b016,Appias albina swinhoei,Appias albina,Pieridae,Common Albatross,Dingupath Samanalaya,LC,Endemic subspecies
b017,Appias galene,Appias galene,Pieridae,Sri Lankan Lesser Albatross,Sri Lanka Thundu Dingupath Samanalaya,LC,Endemic
b018,Appias indra narendra,Appias indra,Pieridae,Plain Puffin,Dumbara-sudana,CR,Endemic subspecies
b019,Appias libythea libythea,Appias libythea,Pieridae,Striped Albatross,Iri Sudana,LC,Not endemic
b020,Appias lyncida taprobana,Appias lyncida,Pieridae,Chocolate Albatross,Dumburuwan Sudana,LC,Endemic subspecies
b021,Belenois aurota taprobana,Belenois aurota,Pieridae,Pioneer,Apsaravi,LC,Endemic subspecies
b022,Catopsilia pomona pomona,Catopsilia pomona,Pieridae,Lemon Emigrant,Dehi seriya,LC,Not endemic
b023,Catopsilia pyramhe pyramhe,Catopsilia pyramhe,Pieridae,Mottled Emigrant,Lapa seriya,LC,Not endemic
b024,Catopsilia scylla,Catopsilia scylla,Pieridae,Orange Migrant,-,LC,New arrival in Sri Lanka (2008); breeding resident
b025,Cepora nadina cingala,Cepora nadina,Pieridae,Lesser Gull,Heen Panduru-sudana,CR,Endemic subspecies
b026,Cepora nerissa phryne,Cepora nerissa,Pieridae,Common Gull,Lihini Samanalaya,LC,Not endemic
b027,Colotis amata modesta,Colotis amata,Pieridae,Small Salmon Arab,Punchi Rosa Sudana,LC,Not endemic
b028,Colotis aurora,Colotis aurora,Pieridae,Plain Orange Tip,Podu Tembiliwan Sudana,VU,Not endemic
b029,Colotis danae danae,Colotis danae,Pieridae,Crimson Tip,Rathu-thudu Sudda,VU,Not endemic
b030,Colotis etrida limbata,Colotis etrida,Pieridae,Little Orange Tip,Heen Sudana,VU,Endemic subspecies
b031,Colotis fausta fulvia,Colotis fausta,Pieridae,Large Salmon Arab,Maha Rosa Sudana,VU,Not endemic
b032,Delias eucharis,Delias eucharis,Pieridae,Jezebel,Pilila Risiya,LC,Not endemic
b033,Eurema ormistoni,Eurema ormistoni,Pieridae,One-spot Grass Yellow,Sri Lanka Kela kahakolaya,VU,Endemic
b034,Eurema blanda citrina,Eurema blanda,Pieridae,Three-spot Grass Yellow,Thun pulli Thruna Pithaya,LC,Endemic subspecies
b035,Eurema brigitta rubella,Eurema brigitta,Pieridae,Small Grass Yellow,Rubella Thruna pithaya,LC,Not endemic
b036,Eurema hecabe hecabe,Eurema hecabe,Pieridae,Common Grass Yellow,Thruna Pithaya,LC,Not endemic
b037,Eurema laeta rama,Eurema laeta,Pieridae,Spotless Grass Yellow,Nothith Thruna Pithaya,VU,Endemic subspecies
b038,Hebomoia glaucippe ceylonica,Hebomoia glaucippe,Pieridae,Great Orange Tip,Maha Ramba Thuduwa,LC,Endemic subspecies
b039,Ixias marianne,Ixias marianne,Pieridae,White Orange Tip,Ela Ramba Thuduwa,LC,Not endemic
b040,Ixias pyrene cingalensis,Ixias pyrene,Pieridae,Yellow Orange Tip,Padu Ramba Thuduwa,LC,Endemic subspecies
b041,Leptosia nina nina,Leptosia nina,Pieridae,Psyche,Manahari,LC,Not endemic
b042,Pareronia ceylanica ceylanica,Pareronia ceylanica,Pieridae,Dark Wanderer,Anduru seriya,LC,Not endemic
b043,Prioneris sita,Prioneris sita,Pieridae,Painted Saw-tooth,Vichitra Maha-sudda,EN,Not endemic
b044,Acraea violae,Acraea violae,Nymphalidae,Tawny Coster,Viyola,LC,Not endemic
b045,Argymis hyperbius taprobana,Argymis hyperbius,Nymphalidae,Indian Fritillary,Indiyanu Alankarikaya,EN,Endemic subspecies
b046,Ariadne ariadne minorata,Ariadne ariadne,Nymphalidae,Angled Castor,Naw-Risiya,LC,Endemic subspecies
b047,Ariadne merione taprobana,Ariadne merione,Nymphalidae,Common Castor,Podu Pathan-sariya,VU,Endemic subspecies
b048,Byblia ilithyia,Byblia ilithyia,Nymphalidae,Joker,Kawataya,VU,Not endemic
b049,Cethosia niemeri niemeri,Cethosia niemeri,Nymphalidae,Ceylon Lace Wing,Lanka Seda-piyapatha,LC,Endemic subspecies
b050,Charaxes athamas athamas,Polyura athamas,Nymphalidae,Nawab,Kaha Kumaraya,LC,Not endemic
b051,Charaxes psaphon psaphon,Charaxes psaphon,Nymphalidae,Tawny Rajah,Maha Kumaraya,NT,Endemic subspecies
b052,Charaxes solon cervulhus,Charaxes solon,Nymphalidae,Black Rajah,Kalu Raja-kumaraya,NT,Endemic subspecies
b053,Cirrochroa thais lanka,Cirrochroa thais,Nymphalidae,Tamil Yeoman/ Yeoman,Kela Raththiya,LC,Endemic subspecies
b054,Cupha erymanthis placida,Cupha erymanthis,Nymphalidae,Rustic,Raththiya,LC,Endemic subspecies
b055,Danaus chrysippus chrysippus,Danaus chrysippus,Nymphalidae,Plain Tiger,Pahan Gomara,LC,Not endemic
b056,Danaus genutia genutia,Danaus genutia,Nymphalidae,Common Tiger,Agni Gomara,LC,Not endemic
b057,Discophora lepida ceylonica,Discophora lepida,Nymphalidae,Southern Duffer,Dumburn Kewattaya,VU,Endemic subspecies
b058,Doleschallia bisaltide ceylonica,Doleschallia bisaltide,Nymphalidae,Autumn Leaf,Yoda kelakolaya,EN,Endemic subspecies
b059,Dophila evelina evelina,Dophila evelina,Nymphalidae,Redspot Duke,Rath-ne,LC,Endemic subspecies
b060,Elymnias hypermuestra fraterna,Elymnias hypermuestra,Nymphalidae,Common Palmfly,Ramba-thaliya,LC,Endemic subspecies
b061,Elymnias singhala,Elymnias singhala,Nymphalidae,Sri Lankan Palmfly,Sri Lanka Thal-dumburuwa,EN,Endemic
b062,Euploea core asela,Euploea core,Nymphalidae,Common Indian Crow,Indu Kakaya,LC,Endemic subspecies
b063,Euploea klugii sinhala,Euploea klugii,Nymphalidae,Brown King Crow,Raja Kaka-kotithiya,LC,Endemic subspecies
b064,Euploea phaenareta corus,Euploea phaenareta,Nymphalidae,Great Crow,Yoda Kaka-kotithiya,EN,Endemic subspecies
b065,Euploea sylvester montana,Euploea sylvester,Nymphalidae,Double-branded Black Crow,De-iri Kaka-kotithiya,NT,Endemic subspecies
b066,Euthalia aconthea vasanta,Euthalia aconthea,Nymphalidae,Baron,Sitano,LC,Endemic subspecies
b067,Euthalia lubentina psittacus,Euthalia lubentina,Nymphalidae,Gaudy Baron,Kela Achchilaya,VU,Endemic subspecies
b068,Hypolimnas bolina bolina,Hypolimnas bolina,Nymphalidae,Great Eggfly,Maha-siwwa,LC,Not endemic
b069,Hypolimnas misippus,Hypolimnas misippus,Nymphalidae,Danaid Eggfly,Punchi-siwwa,LC,Not endemic
b070,Idea iasonia,Idea iasonia,Nymphalidae,Sri Lankan Tree Nymph,Sri Lanka Pawenna,VU,Endemic
b071,Ideopsis similis exprompta,Ideopsis similis,Nymphalidae,Blue Glassy Tiger,Maha Nil-kotithiya,VU,Not endemic
b072,Junonia almana almana,Junonia almana,Nymphalidae,Peacock Pansy,Mayura Pansaya,LC,Not endemic
b073,Junonia atlites atlites,Junonia atlites,Nymphalidae,Grey Pansy,Alu Pansaya,LC,Not endemic
b074,Junonia hierta hierta,Junonia hierta,Nymphalidae,Yellow Pansy,Peetha Pansaya,CR,Not endemic
b075,Junonia iphita pluviatilis,Junonia iphita,Nymphalidae,Chocolate Soldier,Miyuru-Hewa,LC,Not endemic
b076,Junonia lemonias vaisya,Junonia lemonias,Nymphalidae,Lemon Pansy,Pangiri Pansaya,LC,Endemic subspecies
b077,Junonia orithya patenas,Junonia orithya,Nymphalidae,Blue Pansy,Nil Alankarikaya,EN,Endemic subspecies
b078,Kallima philarchus,Kallima philarchus,Nymphalidae,Sri Lankan Blue Oakleaf,Sri Lanka Nil Kela-kolaya,EN,Endemic
b079,Kaniska canace haronica,Kaniska canace,Nymphalidae,Blue Admiral,Nil Seneviya,LC,Endemic subspecies
b080,Lethe daretis,Lethe daretis,Nymphalidae,Sri Lankan Treebrown,Sri Lanka Gas-dumburuwa,LC,Endemic
b081,Lethe drypetis drypetis,Lethe drypetis,Nymphalidae,Tamil Treebrown,Maha- Gas-dumburuwa,EN,Endemic subspecies
b082,Lethe dynsate,Lethe dynsate,Nymphalidae,Sri Lankan Forester,Sri Lanka Kela Gas-dumburuwa,EN,Endemic
b083,Lethe rohria neelgheriensis,Lethe rohria,Nymphalidae,Common Tree Brown,Podu Gas-dumburuwa,EN,Not endemic
b084,Libythea laius lepitoides,Libythea laius,Nymphalidae,Beak,Dumburu-thuduwa,EN,Not endemic
b085,Libythea myrrha rama,Libythea myrrha,Nymphalidae,Club Beak,Dandu Dumburu-thuduwa,VU,Endemic subspecies
b086,Melanitis leda leda,Melanitis leda,Nymphalidae,Common Evening Brown,Gomman-guruwa,LC,Not endemic
